,GOterm
smarce1,GO:0032911
snai1,GO:0032911
snai1,GO:0032911
snrnp70,GO:0032911
sod2,GO:0032911
son,GO:0032911
son,GO:0032911
sox2,GO:0032911
sox4,GO:0032911
sox4,GO:0032911
sox9,GO:0032911
sox9,GO:0032911
sox11,GO:0032911
sp1,GO:0032911
sp1,GO:0032911
sp2,GO:0032911
sp3,GO:0032911
sp3,GO:0032911
sp4,GO:0032911
sp100,GO:0032911
sp100,GO:0032911
spi1,GO:0032911
spib,GO:0032911
spp1,GO:0032911
srebf2,GO:0032911
srf,GO:0032911
srpk1,GO:0032911
sry,GO:0032911
trim21,GO:0032911
ss18,GO:0032911
stat1,GO:0032911
stat1,GO:0032911
stat3,GO:0032911
stat3,GO:0032911
stat6,GO:0032911
nek4,GO:0032911
supt4h1,GO:0032911
supt5h,GO:0032911
supt5h,GO:0032911
supt6h,GO:0032911
supv3l1,GO:0032911
supv3l1,GO:0032911
suv39h1,GO:0032911
suv39h1,GO:0032911
syk,GO:0032911
tbxt,GO:0032911
taf1,GO:0032911
taf1,GO:0032911
taf2,GO:0032911
taf4,GO:0032911
taf7,GO:0032911
taf9,GO:0032911
taf11,GO:0032911
taf12,GO:0032911
tal1,GO:0032911
tbl1x,GO:0032911
tbx2,GO:0032911
tbx5,GO:0032911
tbx5,GO:0032911
tcf4,GO:0032911
tbx3,GO:0032911
hnf1a,GO:0032911
hnf1b,GO:0032911
tcf3,GO:0032911
tcf7l2,GO:0032911
tcf7l2,GO:0032911
zeb1,GO:0032911
zeb1,GO:0032911
gcfc2,GO:0032911
tcf12,GO:0032911
tcf21,GO:0032911
mlx,GO:0032911
mlx,GO:0032911
tead1,GO:0032911
tmbim6,GO:0032911
tert,GO:0032911
tert,GO:0032911
tfam,GO:0032911
tfap2a,GO:0032911
tfap2a,GO:0032911
tfap2b,GO:0032911
tfap2b,GO:0032911
tfap2c,GO:0032911
tfap4,GO:0032911
tfap4,GO:0032911
tfcp2,GO:0032911
nr2f1,GO:0032911
nr2f2,GO:0032911
nr2f2,GO:0032911
tfdp1,GO:0032911
tfdp2,GO:0032911
tfe3,GO:0032911
tgfb1,GO:0032911
tgfb1i1,GO:0032911
tgfb2,GO:0032911
tgfb3,GO:0032911
tgfbr1,GO:0032911
tgfbr1,GO:0032911
tgfbr3,GO:0032911
tgif1,GO:0032911
tgif1,GO:0032911
thra,GO:0032911
klf10,GO:0032911
tia1,GO:0032911
nkx2-1,GO:0032911
nkx2-1,GO:0032911
tle1,GO:0032911
tle2,GO:0032911
tlr2,GO:0032911
tlr4,GO:0032911
tmsb4x,GO:0032911
tnf,GO:0032911
tnf,GO:0032911
tnfaip3,GO:0032911
tnfrsf1a,GO:0032911
tnni2,GO:0032911
tnp1,GO:0032911
tp53,GO:0032911
tp53,GO:0032911
tp53bp1,GO:0032911
tp73,GO:0032911
tp73,GO:0032911
tpr,GO:0032911
nr2c2,GO:0032911
traf1,GO:0032911
traf2,GO:0032911
traf2,GO:0032911
traf3,GO:0032911
traf5,GO:0032911
traf6,GO:0032911
traf6,GO:0032911
trps1,GO:0032911
twist1,GO:0032911
twist1,GO:0032911
txk,GO:0032911
ube2i,GO:0032911
ube2i,GO:0032911
ube2l3,GO:0032911
ube2l3,GO:0032911
ube2n,GO:0032911
ube2v1,GO:0032911
sumo1,GO:0032911
sumo1,GO:0032911
nr1h2,GO:0032911
nr1h2,GO:0032911
usf1,GO:0032911
usf2,GO:0032911
vdr,GO:0032911
vdr,GO:0032911
vegfa,GO:0032911
vegfa,GO:0032911
vhl,GO:0032911
vhl,GO:0032911
ezr,GO:0032911
vim,GO:0032911
wfs1,GO:0032911
wnt1,GO:0032911
wnt1,GO:0032911
wnt2,GO:0032911
wnt5a,GO:0032911
wnt5a,GO:0032911
wnt7a,GO:0032911
wnt11,GO:0032911
wt1,GO:0032911
xbp1,GO:0032911
xbp1,GO:0032911
xrcc5,GO:0032911
yy1,GO:0032911
ywhah,GO:0032911
zfp36,GO:0032911
zfp36,GO:0032911
zbtb14,GO:0032911
zic3,GO:0032911
znf711,GO:0032911
cnbp,GO:0032911
znf12,GO:0032911
znf24,GO:0032911
zscan21,GO:0032911
zscan21,GO:0032911
mzf1,GO:0032911
znf76,GO:0032911
znf91,GO:0032911
znf140,GO:0032911
znf143,GO:0032911
pcgf2,GO:0032911
zbtb16,GO:0032911
trim25,GO:0032911
znf148,GO:0032911
zbtb17,GO:0032911
zbtb17,GO:0032911
vezf1,GO:0032911
trim26,GO:0032911
znf174,GO:0032911
znf175,GO:0032911
znf202,GO:0032911
znf205,GO:0032911
znf217,GO:0032911
znf224,GO:0032911
zxda,GO:0032911
prdm2,GO:0032911
btg2,GO:0032911
pax8,GO:0032911
fzd5,GO:0032911
brpf1,GO:0032911
usp7,GO:0032911
ddx39b,GO:0032911
nelfe,GO:0032911
tfeb,GO:0032911
mafk,GO:0032911
arhgef5,GO:0032911
kat6a,GO:0032911
nr4a3,GO:0032911
brd3,GO:0032911
lhx3,GO:0032911
mllt10,GO:0032911
fosl1,GO:0032911
kmt2d,GO:0032911
hmga2,GO:0032911
hmga2,GO:0032911
alx1,GO:0032911
alx1,GO:0032911
ell,GO:0032911
znf239,GO:0032911
gdf5,GO:0032911
ncoa3,GO:0032911
ncoa3,GO:0032911
nrip1,GO:0032911
akap17a,GO:0032911
usp9x,GO:0032911
arid1a,GO:0032911
picalm,GO:0032911
axin1,GO:0032911
axin2,GO:0032911
eomes,GO:0032911
fzd1,GO:0032911
fzd4,GO:0032911
fzd6,GO:0032911
fzd7,GO:0032911
fzd7,GO:0032911
pla2g10,GO:0032911
uxt,GO:0032911
nr0b2,GO:0032911
utf1,GO:0032911
nck2,GO:0032911
klf11,GO:0032911
tead2,GO:0032911
ogt,GO:0032911
ogt,GO:0032911
galr3,GO:0032911
ikbkg,GO:0032911
elp1,GO:0032911
gcm1,GO:0032911
cbx4,GO:0032911
cbx4,GO:0032911
camk1,GO:0032911
barx2,GO:0032911
cggbp1,GO:0032911
fcn3,GO:0032911
bhlhe40,GO:0032911
thoc5,GO:0032911
khsrp,GO:0032911
tnfsf11,GO:0032911
klf7,GO:0032911
plpp3,GO:0032911
cdk13,GO:0032911
tp63,GO:0032911
tp63,GO:0032911
skap1,GO:0032911
skap1,GO:0032911
chrd,GO:0032911
ncoa1,GO:0032911
tnks,GO:0032911
srsf9,GO:0032911
uri1,GO:0032911
uri1,GO:0032911
ripk1,GO:0032911
ripk1,GO:0032911
ripk2,GO:0032911
ripk2,GO:0032911
fadd,GO:0032911
tnfrsf11a,GO:0032911
tnfrsf11a,GO:0032911
galr2,GO:0032911
ccnk,GO:0032911
sap30,GO:0032911
hdac3,GO:0032911
hdac3,GO:0032911
kat2b,GO:0032911
cdk5r1,GO:0032911
nr1i2,GO:0032911
ldb1,GO:0032911
ldb1,GO:0032911
apln,GO:0032911
per3,GO:0032911
sphk1,GO:0032911
zpr1,GO:0032911
bud31,GO:0032911
timeless,GO:0032911
bcl10,GO:0032911
foxh1,GO:0032911
foxh1,GO:0032911
phox2b,GO:0032911
phox2b,GO:0032911
fubp3,GO:0032911
btrc,GO:0032911
usp13,GO:0032911
rps6ka4,GO:0032911
rps6ka4,GO:0032911
limd1,GO:0032911
limd1,GO:0032911
rnf8,GO:0032911
dnaja3,GO:0032911
usp2,GO:0032911
cnot9,GO:0032911
cbfa2t2,GO:0032911
dyrk1b,GO:0032911
ctdp1,GO:0032911
map3k13,GO:0032911
arhgef2,GO:0032911
zbed1,GO:0032911
slc33a1,GO:0032911
lrrfip1,GO:0032911
aurkb,GO:0032911
tbrg4,GO:0032911
nog,GO:0032911
rps6ka5,GO:0032911
rps6ka5,GO:0032911
mapkapk2,GO:0032911
itgb1bp1,GO:0032911
med14,GO:0032911
klf4,GO:0032911
klf4,GO:0032911
trip4,GO:0032911
trip4,GO:0032911
cnot8,GO:0032911
rpl23,GO:0032911
cer1,GO:0032911
adipoq,GO:0032911
tgfbrap1,GO:0032911
recql5,GO:0032911
med21,GO:0032911
hand1,GO:0032911
med23,GO:0032911
med17,GO:0032911
med26,GO:0032911
med27,GO:0032911
med7,GO:0032911
aim2,GO:0032911
eif2ak3,GO:0032911
hand2,GO:0032911
onecut2,GO:0032911
litaf,GO:0032911
tbpl1,GO:0032911
bag3,GO:0032911
cir1,GO:0032911
h2afy,GO:0032911
nr1d1,GO:0032911
nr1d1,GO:0032911
gdf3,GO:0032911
clock,GO:0032911
creb5,GO:0032911
wtap,GO:0032911
ier2,GO:0032911
rnf14,GO:0032911
ncor1,GO:0032911
ncor2,GO:0032911
mical2,GO:0032911
ctr9,GO:0032911
ctr9,GO:0032911
ppm1f,GO:0032911
kdm4a,GO:0032911
lrrc14,GO:0032911
pum1,GO:0032911
dhx34,GO:0032911
st18,GO:0032911
dcaf1,GO:0032911
hdac9,GO:0032911
znf536,GO:0032911
hdac4,GO:0032911
hdac4,GO:0032911
bclaf1,GO:0032911
bclaf1,GO:0032911
maml1,GO:0032911
rnf40,GO:0032911
arhgef11,GO:0032911
trim14,GO:0032911
zeb2,GO:0032911
zeb2,GO:0032911
med24,GO:0032911
setdb1,GO:0032911
arnt2,GO:0032911
rnf10,GO:0032911
zbtb5,GO:0032911
mafb,GO:0032911
rbm8a,GO:0032911
usp15,GO:0032911
thrap3,GO:0032911
thrap3,GO:0032911
med12,GO:0032911
med13,GO:0032911
nr1i3,GO:0032911
nr1h4,GO:0032911
nr1h4,GO:0032911
nr1d2,GO:0032911
thoc1,GO:0032911
thoc1,GO:0032911
ptbp3,GO:0032911
med6,GO:0032911
nr2e3,GO:0032911
nr2e3,GO:0032911
zbtb33,GO:0032911
zbtb33,GO:0032911
hdac5,GO:0032911
hdac5,GO:0032911
med16,GO:0032911
nr1h3,GO:0032911
nr1h3,GO:0032911
pqbp1,GO:0032911
znf263,GO:0032911
nampt,GO:0032911
yaf2,GO:0032911
tob1,GO:0032911
mbnl2,GO:0032911
cebpz,GO:0032911
trim28,GO:0032911
trim28,GO:0032911
znf256,GO:0032911
rbm5,GO:0032911
alyref,GO:0032911
trim13,GO:0032911
trib1,GO:0032911
ramp3,GO:0032911
fstl3,GO:0032911
sap18,GO:0032911
sap18,GO:0032911
trim22,GO:0032911
klf2,GO:0032911
klf2,GO:0032911
cited2,GO:0032911
cited2,GO:0032911
nod1,GO:0032911
basp1,GO:0032911
basp1,GO:0032911
yap1,GO:0032911
yap1,GO:0032911
rbm14,GO:0032911
ppie,GO:0032911
hax1,GO:0032911
mad2l2,GO:0032911
mad2l2,GO:0032911
fst,GO:0032911
zbtb18,GO:0032911
tada3,GO:0032911
trim38,GO:0032911
hoxb13,GO:0032911
c1orf61,GO:0032911
creb3,GO:0032911
creb3,GO:0032911
syncrip,GO:0032911
sema4d,GO:0032911
cib1,GO:0032911
ddx17,GO:0032911
ddx17,GO:0032911
deaf1,GO:0032911
kat5,GO:0032911
kat5,GO:0032911
ern2,GO:0032911
usp16,GO:0032911
erlin1,GO:0032911
hexim1,GO:0032911
rbck1,GO:0032911
trim16,GO:0032911
igf2bp1,GO:0032911
igf2bp1,GO:0032911
celf1,GO:0032911
klf1,GO:0032911
klf1,GO:0032911
ctcf,GO:0032911
ctcf,GO:0032911
nfat5,GO:0032911
tcfl5,GO:0032911
rai1,GO:0032911
map3k2,GO:0032911
ahcyl1,GO:0032911
srsf10,GO:0032911
znf268,GO:0032911
znf268,GO:0032911
ruvbl2,GO:0032911
arid5a,GO:0032911
ppargc1a,GO:0032911
malt1,GO:0032911
papola,GO:0032911
tcerg1,GO:0032911
ehmt2,GO:0032911
rnps1,GO:0032911
rnps1,GO:0032911
fastk,GO:0032911
fastk,GO:0032911
sub1,GO:0032911
spin1,GO:0032911
prdx3,GO:0032911
mllt11,GO:0032911
ywhaq,GO:0032911
adirf,GO:0032911
cops5,GO:0032911
lilrb4,GO:0032911
ccdc85b,GO:0032911
atf7,GO:0032911
ripk3,GO:0032911
mid2,GO:0032911
nudt21,GO:0032911
nudt21,GO:0032911
wwp2,GO:0032911
trim31,GO:0032911
prdm5,GO:0032911
faf1,GO:0032911
kat7,GO:0032911
ptp4a3,GO:0032911
erlin2,GO:0032911
pkp3,GO:0032911
celf3,GO:0032911
chek2,GO:0032911
irak3,GO:0032911
ddx20,GO:0032911
padi2,GO:0032911
zhx1,GO:0032911
chp1,GO:0032911
snf8,GO:0032911
klf12,GO:0032911
klf8,GO:0032911
park7,GO:0032911
park7,GO:0032911
ecd,GO:0032911
phb2,GO:0032911
phb2,GO:0032911
cbx3,GO:0032911
cbx3,GO:0032911
u2af2,GO:0032911
atf5,GO:0032911
cpeb3,GO:0032911
mlxip,GO:0032911
mlxip,GO:0032911
zhx2,GO:0032911
foxj3,GO:0032911
zbtb1,GO:0032911
bahd1,GO:0032911
card8,GO:0032911
sbno2,GO:0032911
ncbp2,GO:0032911
atf6,GO:0032911
habp4,GO:0032911
sirt2,GO:0032911
sirt2,GO:0032911
scap,GO:0032911
snw1,GO:0032911
snw1,GO:0032911
dkk1,GO:0032911
trim32,GO:0032911
paxip1,GO:0032911
tcf25,GO:0032911
spen,GO:0032911
cnot1,GO:0032911
cnot1,GO:0032911
kdm1a,GO:0032911
kdm1a,GO:0032911
zhx3,GO:0032911
ncoa6,GO:0032911
setx,GO:0032911
rrp1b,GO:0032911
kdm4c,GO:0032911
znf423,GO:0032911
tnrc6b,GO:0032911
camta2,GO:0032911
phf8,GO:0032911
phf8,GO:0032911
wdr43,GO:0032911
rtf1,GO:0032911
rcor1,GO:0032911
jmjd6,GO:0032911
sulf1,GO:0032911
wwc1,GO:0032911
fbxw11,GO:0032911
atmin,GO:0032911
cux2,GO:0032911
usp22,GO:0032911
larp1,GO:0032911
pum2,GO:0032911
crtc1,GO:0032911
ufl1,GO:0032911
rrp8,GO:0032911
rrp8,GO:0032911
ice1,GO:0032911
sirt1,GO:0032911
sirt1,GO:0032911
zfpm2,GO:0032911
rybp,GO:0032911
rhoq,GO:0032911
tardbp,GO:0032911
atp1b4,GO:0032911
hey1,GO:0032911
hey1,GO:0032911
cbx6,GO:0032911
cbx5,GO:0032911
cbx5,GO:0032911
brd4,GO:0032911
brd4,GO:0032911
cbx7,GO:0032911
hey2,GO:0032911
hey2,GO:0032911
kat6b,GO:0032911
znf281,GO:0032911
znf281,GO:0032911
prame,GO:0032911
rbfox2,GO:0032911
wbp2,GO:0032911
ddx58,GO:0032911
lemd3,GO:0032911
zmynd8,GO:0032911
nup62,GO:0032911
eid1,GO:0032911
maff,GO:0032911
prpf6,GO:0032911
cby1,GO:0032911
spdef,GO:0032911
bambi,GO:0032911
prdx5,GO:0032911
pou2f3,GO:0032911
nipbl,GO:0032911
brms1,GO:0032911
prkd2,GO:0032911
prkd2,GO:0032911
nol11,GO:0032911
sostdc1,GO:0032911
sin3a,GO:0032911
rwdd3,GO:0032911
kank2,GO:0032911
hinfp,GO:0032911
hinfp,GO:0032911
l3mbtl1,GO:0032911
l3mbtl1,GO:0032911
znf451,GO:0032911
chd5,GO:0032911
auts2,GO:0032911
gigyf2,GO:0032911
edrf1,GO:0032911
znf658,GO:0032911
noc2l,GO:0032911
nkx2-8,GO:0032911
ankrd2,GO:0032911
mycbp,GO:0032911
ehf,GO:0032911
gnl3,GO:0032911
heyl,GO:0032911
ago1,GO:0032911
aatf,GO:0032911
dux1,GO:0032911
grem1,GO:0032911
grem1,GO:0032911
elp4,GO:0032911
nufip1,GO:0032911
pabpc1,GO:0032911
akap8l,GO:0032911
dnajc2,GO:0032911
foxd3,GO:0032911
pelp1,GO:0032911
foxp1,GO:0032911
foxp1,GO:0032911
dkk3,GO:0032911
stk36,GO:0032911
ago2,GO:0032911
pdcd4,GO:0032911
ventx,GO:0032911
dimt1,GO:0032911
bmp10,GO:0032911
rbmx,GO:0032911
tox3,GO:0032911
ccdc22,GO:0032911
rgcc,GO:0032911
hipk2,GO:0032911
klf15,GO:0032911
atad2,GO:0032911
med4,GO:0032911
ssu72,GO:0032911
pycard,GO:0032911
pycard,GO:0032911
pycard,GO:0032911
fhod1,GO:0032911
fhod1,GO:0032911
tbk1,GO:0032911
brd7,GO:0032911
uhrf1,GO:0032911
grhl1,GO:0032911
grhl1,GO:0032911
cnot7,GO:0032911
rbm15b,GO:0032911
sertad3,GO:0032911
dnmt3l,GO:0032911
mdfic,GO:0032911
nop53,GO:0032911
tbx21,GO:0032911
rax,GO:0032911
sox8,GO:0032911
cxxc1,GO:0032911
smarcal1,GO:0032911
neurog3,GO:0032911
hp1bp3,GO:0032911
foxp3,GO:0032911
foxp3,GO:0032911
tbx22,GO:0032911
sost,GO:0032911
sost,GO:0032911
mterf3,GO:0032911
ascc1,GO:0032911
gmnn,GO:0032911
nmd3,GO:0032911
ndufa13,GO:0032911
gal,GO:0032911
insig2,GO:0032911
chchd2,GO:0032911
ing4,GO:0032911
lef1,GO:0032911
lef1,GO:0032911
znf639,GO:0032911
znf639,GO:0032911
znf219,GO:0032911
znf219,GO:0032911
ier5,GO:0032911
wac,GO:0032911
dact1,GO:0032911
crlf3,GO:0032911
znf589,GO:0032911
ythdf2,GO:0032911
sfmbt1,GO:0032911
sfmbt1,GO:0032911
triap1,GO:0032911
trmt112,GO:0032911
etv7,GO:0032911
cxxc5,GO:0032911
sirt7,GO:0032911
sirt7,GO:0032911
sirt6,GO:0032911
pias4,GO:0032911
trim33,GO:0032911
nbas,GO:0032911
taf9b,GO:0032911
rtraf,GO:0032911
sufu,GO:0032911
uimc1,GO:0032911
cdk12,GO:0032911
inpp5k,GO:0032911
rsf1,GO:0032911
bcl11a,GO:0032911
trim34,GO:0032911
rbm11,GO:0032911
ripk4,GO:0032911
tlr9,GO:0032911
sox18,GO:0032911
wnt4,GO:0032911
wnt4,GO:0032911
terf2ip,GO:0032911
egln1,GO:0032911
ino80,GO:0032911
paf1,GO:0032911
paf1,GO:0032911
mphosph8,GO:0032911
trim44,GO:0032911
rnf111,GO:0032911
tet2,GO:0032911
gatad2a,GO:0032911
bcas3,GO:0032911
esrp1,GO:0032911
ankrd49,GO:0032911
bcor,GO:0032911
bcor,GO:0032911
casz1,GO:0032911
chchd3,GO:0032911
tesc,GO:0032911
pih1d1,GO:0032911
pid1,GO:0032911
phip,GO:0032911
usp47,GO:0032911
rnf31,GO:0032911
heatr1,GO:0032911
elp3,GO:0032911
thap1,GO:0032911
thap1,GO:0032911
shq1,GO:0032911
prmt6,GO:0032911
rprd1a,GO:0032911
bbs7,GO:0032911
trim62,GO:0032911
asxl2,GO:0032911
tmem100,GO:0032911
brf2,GO:0032911
h2afy2,GO:0032911
batf3,GO:0032911
maml3,GO:0032911
rbm38,GO:0032911
tasp1,GO:0032911
depdc1,GO:0032911
lyar,GO:0032911
znf692,GO:0032911
hif1an,GO:0032911
iws1,GO:0032911
yeats2,GO:0032911
rbm22,GO:0032911
atf7ip,GO:0032911
cdk5rap2,GO:0032911
riok2,GO:0032911
pcid2,GO:0032911
mbnl3,GO:0032911
il26,GO:0032911
trerf1,GO:0032911
foxj2,GO:0032911
kdm3a,GO:0032911
eapp,GO:0032911
eaf2,GO:0032911
wwc3,GO:0032911
bex1,GO:0032911
mesp1,GO:0032911
kmt2e,GO:0032911
erbin,GO:0032911
lancl2,GO:0032911
nkrf,GO:0032911
dmap1,GO:0032911
rnf20,GO:0032911
zc3hav1,GO:0032911
ifnk,GO:0032911
tceal7,GO:0032911
celf4,GO:0032911
tcim,GO:0032911
dhx33,GO:0032911
arntl2,GO:0032911
dusp22,GO:0032911
eny2,GO:0032911
smyd2,GO:0032911
otud7b,GO:0032911
rgma,GO:0032911
atxn7l3,GO:0032911
ctnnbip1,GO:0032911
pcbp4,GO:0032911
camk1d,GO:0032911
smurf1,GO:0032911
zmiz1,GO:0032911
thap11,GO:0032911
cbx8,GO:0032911
znf304,GO:0032911
znf304,GO:0032911
aicda,GO:0032911
clk4,GO:0032911
tmigd3,GO:0032911
cnot6,GO:0032911
mkl2,GO:0032911
mta3,GO:0032911
mavs,GO:0032911
rptor,GO:0032911
mkl1,GO:0032911
fnip2,GO:0032911
usp36,GO:0032911
tshz3,GO:0032911
zbtb2,GO:0032911
phf12,GO:0032911
calcoco1,GO:0032911
zbtb4,GO:0032911
bend3,GO:0032911
bend3,GO:0032911
chd8,GO:0032911
chd8,GO:0032911
tnrc6c,GO:0032911
mier1,GO:0032911
trib3,GO:0032911
trib3,GO:0032911
ccar2,GO:0032911
ccar2,GO:0032911
grhl3,GO:0032911
ptbp2,GO:0032911
nfe4,GO:0032911
nfe4,GO:0032911
ctdsp1,GO:0032911
tp53inp2,GO:0032911
nlrc4,GO:0032911
crebzf,GO:0032911
crebzf,GO:0032911
rprd1b,GO:0032911
rprd1b,GO:0032911
cactin,GO:0032911
rbm25,GO:0032911
snx6,GO:0032911
hivep3,GO:0032911
sigirr,GO:0032911
znf350,GO:0032911
eda2r,GO:0032911
tgif2,GO:0032911
nif3l1,GO:0032911
celf6,GO:0032911
celf5,GO:0032911
ube2o,GO:0032911
gpatch3,GO:0032911
chp2,GO:0032911
prdm16,GO:0032911
nod2,GO:0032911
nod2,GO:0032911
irf2bpl,GO:0032911
mms19,GO:0032911
tfb2m,GO:0032911
rnf25,GO:0032911
sox17,GO:0032911
nsd1,GO:0032911
ikzf5,GO:0032911
gzf1,GO:0032911
gzf1,GO:0032911
suds3,GO:0032911
creb3l2,GO:0032911
ippk,GO:0032911
fam129b,GO:0032911
bcl11b,GO:0032911
caprin2,GO:0032911
ddrgk1,GO:0032911
dusp26,GO:0032911
mettl16,GO:0032911
fastkd3,GO:0032911
card14,GO:0032911
tnip2,GO:0032911
fbxl15,GO:0032911
irx1,GO:0032911
zxdc,GO:0032911
zxdc,GO:0032911
bhlhe41,GO:0032911
pagr1,GO:0032911
nkap,GO:0032911
cdc73,GO:0032911
cdc73,GO:0032911
sap130,GO:0032911
hmbox1,GO:0032911
mcph1,GO:0032911
bend5,GO:0032911
ice2,GO:0032911
fastkd1,GO:0032911
tbl1xr1,GO:0032911
suv39h2,GO:0032911
e2f8,GO:0032911
e2f8,GO:0032911
znf750,GO:0032911
znf750,GO:0032911
carf,GO:0032911
ttc21b,GO:0032911
kdm8,GO:0032911
rpap2,GO:0032911
prr5l,GO:0032911
setd6,GO:0032911
nanog,GO:0032911
grhl2,GO:0032911
grhl2,GO:0032911
esrp2,GO:0032911
wwc2,GO:0032911
znf703,GO:0032911
znf703,GO:0032911
zc3h12a,GO:0032911
naa15,GO:0032911
cep290,GO:0032911
ell3,GO:0032911
cdk5rap3,GO:0032911
tet1,GO:0032911
epc1,GO:0032911
zkscan3,GO:0032911
wdr61,GO:0032911
akna,GO:0032911
esx1,GO:0032911
thap7,GO:0032911
trim8,GO:0032911
med25,GO:0032911
med25,GO:0032911
znf93,GO:0032911
scrt1,GO:0032911
sox7,GO:0032911
bcl2l12,GO:0032911
zmiz2,GO:0032911
parp9,GO:0032911
sesn2,GO:0032911
riok1,GO:0032911
taf3,GO:0032911
hdac10,GO:0032911
brip1,GO:0032911
nsrp1,GO:0032911
pcbd2,GO:0032911
pcgf6,GO:0032911
wdr75,GO:0032911
utp15,GO:0032911
kat8,GO:0032911
kat8,GO:0032911
arid5b,GO:0032911
ascc2,GO:0032911
nlrc5,GO:0032911
sla2,GO:0032911
chd6,GO:0032911
maf1,GO:0032911
ing5,GO:0032911
phf6,GO:0032911
pcgf5,GO:0032911
card11,GO:0032911
maml2,GO:0032911
dot1l,GO:0032911
zc3h8,GO:0032911
zc3h8,GO:0032911
zgpat,GO:0032911
afap1l2,GO:0032911
ccdc62,GO:0032911
ccdc62,GO:0032911
loxl3,GO:0032911
creb3l3,GO:0032911
creb3l3,GO:0032911
cbx2,GO:0032911
abhd14b,GO:0032911
rax2,GO:0032911
trim52,GO:0032911
havcr2,GO:0032911
zc3h10,GO:0032911
parp10,GO:0032911
atoh8,GO:0032911
utp4,GO:0032911
tox2,GO:0032911
trim5,GO:0032911
helz2,GO:0032911
pnpt1,GO:0032911
pnpt1,GO:0032911
wnt3a,GO:0032911
trim15,GO:0032911
trim15,GO:0032911
lhx4,GO:0032911
otulin,GO:0032911
otulin,GO:0032911
med30,GO:0032911
angel2,GO:0032911
nlrp12,GO:0032911
ythdc1,GO:0032911
znf300,GO:0032911
mtdh,GO:0032911
naf1,GO:0032911
fank1,GO:0032911
hnrnpll,GO:0032911
myocd,GO:0032911
foxp2,GO:0032911
tp53inp1,GO:0032911
fnip1,GO:0032911
glmp,GO:0032911
nacc1,GO:0032911
bud23,GO:0032911
nlrp3,GO:0032911
nlrp3,GO:0032911
tirap,GO:0032911
tirap,GO:0032911
card16,GO:0032911
mysm1,GO:0032911
znf653,GO:0032911
sfr1,GO:0032911
rhebl1,GO:0032911
sp7,GO:0032911
leo1,GO:0032911
leo1,GO:0032911
mettl23,GO:0032911
hexim2,GO:0032911
eid2b,GO:0032911
gabpb2,GO:0032911
taf8,GO:0032911
trim71,GO:0032911
ppargc1b,GO:0032911
ncoa7,GO:0032911
srsf12,GO:0032911
trim40,GO:0032911
nobox,GO:0032911
klf14,GO:0032911
klf14,GO:0032911
nacc2,GO:0032911
taf1l,GO:0032911
pasd1,GO:0032911
tcp10l,GO:0032911
gata5,GO:0032911
ctcfl,GO:0032911
spindoc,GO:0032911
spty2d1,GO:0032911
prickle1,GO:0032911
bcdin3d,GO:0032911
e2f7,GO:0032911
e2f7,GO:0032911
zfp90,GO:0032911
creb3l4,GO:0032911
hjv,GO:0032911
hjv,GO:0032911
rnf187,GO:0032911
pyhin1,GO:0032911
commd7,GO:0032911
nfam1,GO:0032911
commd1,GO:0032911
commd1,GO:0032911
gdf7,GO:0032911
pydc2,GO:0032911
dab2ip,GO:0032911
dab2ip,GO:0032911
crebrf,GO:0032911
irx2,GO:0032911
znf425,GO:0032911
znf746,GO:0032911
nkx6-3,GO:0032911
or7d2,GO:0032911
eid2,GO:0032911
znf540,GO:0032911
tmprss6,GO:0032911
parp15,GO:0032911
rnf168,GO:0032911
zbtb49,GO:0032911
znf366,GO:0032911
dhx36,GO:0032911
commd6,GO:0032911
znf675,GO:0032911
sdr16c5,GO:0032911
znf367,GO:0032911
nlrc3,GO:0032911
tet3,GO:0032911
flcn,GO:0032911
flcn,GO:0032911
pde12,GO:0032911
gsx1,GO:0032911
stox1,GO:0032911
jazf1,GO:0032911
rfx6,GO:0032911
rfx6,GO:0032911
zbtb38,GO:0032911
ebf3,GO:0032911
ythdf3,GO:0032911
pydc1,GO:0032911
magea2b,GO:0032911
npas4,GO:0032911
ifnl1,GO:0032911
rbm20,GO:0032911
bcl9l,GO:0032911
slc39a5,GO:0032911
tssk4,GO:0032911
kctd1,GO:0032911
znf326,GO:0032911
c3orf33,GO:0032911
nlrp2b,GO:0032911
rab7b,GO:0032911
nanos2,GO:0032911
tmem173,GO:0032911
fam170a,GO:0032911
nanos1,GO:0032911
nanos3,GO:0032911
macc1,GO:0032911
hils1,GO:0032911
kmt5a,GO:0032911
kmt5a,GO:0032911
nupr2,GO:0032911
skor1,GO:0032911
gdf6,GO:0032911
syt14p1,GO:0032911
yy2,GO:0032911
mirlet7c,GO:0032911
mirlet7i,GO:0032911
mirlet7i,GO:0032911
mir138-1,GO:0032911
mir138-2,GO:0032911
mir140,GO:0032911
mir21,GO:0032911
mir26a1,GO:0032911
mir26a2,GO:0032911
mir27a,GO:0032911
mir92a1,GO:0032911
mir181d,GO:0032911
fam83g,GO:0032911
setsip,GO:0032911
ncf1,GO:0032911
cdk11a,GO:0032911
mef2b,GO:0032911
dux4,GO:0032911
atp2b4,GO:0032912
ins,GO:0032912
park7,GO:0032912
atcay,GO:0032912
paox,GO:0032913
atp2b4,GO:1901389
hprt1,GO:0071656
prkn,GO:0071656
park7,GO:0071656
