,GOterm
clybl,GO:0046321
calr,GO:0046322
dapk1,GO:0046322
dapk3,GO:0046322
ddx3x,GO:0046322
dhfr,GO:0046322
eprs,GO:0046322
eprs,GO:0046322
gapdh,GO:0046322
gapdh,GO:0046322
igfbp5,GO:0046322
ncl,GO:0046322
eif2ak2,GO:0046322
eif2ak2,GO:0046322
rbm4,GO:0046322
rps3,GO:0046322
shmt1,GO:0046322
tsc1,GO:0046322
tyms,GO:0046322
btg2,GO:0046322
enc1,GO:0046322
eif4e2,GO:0046322
eif4a3,GO:0046322
tob1,GO:0046322
prg3,GO:0046322
syncrip,GO:0046322
syncrip,GO:0046322
igf2bp1,GO:0046322
rnf139,GO:0046322
cpeb3,GO:0046322
cnot1,GO:0046322
larp1,GO:0046322
rpl13a,GO:0046322
rpl13a,GO:0046322
gigyf2,GO:0046322
trim71,GO:0046322
znf540,GO:0046322
nanos2,GO:0046322
nanos1,GO:0046322
nanos3,GO:0046322
dhfrp1,GO:0046322
ormdl2,GO:0060587
ormdl1,GO:0060587
ormdl3,GO:0060587
bin1,GO:0060588
apoe,GO:0060588
clu,GO:0060588
rock1,GO:0060588
sorl1,GO:0060588
sorl1,GO:0060588
snca,GO:0034443
neil1,GO:0035552
cda,GO:0035553
edn1,GO:1990983
ednrb,GO:1990983
foxp3,GO:0045935
egfr,GO:0019219
flna,GO:0019219
ins,GO:0019219
mad2l1,GO:0019219
mdm4,GO:0019219
phb,GO:0019219
pin1,GO:0019219
prkcg,GO:0019219
snx3,GO:0019219
mad2l2,GO:0019219
irak3,GO:0019219
sirt2,GO:0019219
sf3b3,GO:0019219
snx12,GO:0019219
azin1,GO:0019219
fmn2,GO:0019219
rilp,GO:0019219
azin2,GO:0019219
agap2,GO:0019219
trim40,GO:0019219
itgav,GO:0034654
itgb3,GO:0034654
adipoq,GO:0034654
itgav,GO:0034655
itgb3,GO:0034655
flot2,GO:0045934
rock1,GO:0045934
apcs,GO:0055086
ptx3,GO:0055086
clu,GO:0071514
cryab,GO:0071514
